Number of labels,Accuracy,Accuracy with class priors,Class priors error
20,50.37,53.49,0.00099
40,55.52,58.06,0.00097
10,41.96,46.77,0.00099
30,52.65,56.36,0.00099
20,49.08,50.18,0.00099
30,58.76,60.39,0.00099
40,58.05,61.04,0.00093
10,46.11,48.31,0.00099
20,51.67,53.09,0.00099
10,47.40,51.33,0.00099
10,51.74,58.28,0.00099
40,60.63,62.48,0.00097
50,59.83,60.32,0.00097
20,46.01,49.47,0.00096
40,58.00,59.04,0.00097
10,48.93,49.78,0.00097
30,54.10,58.55,0.00099
50,57.66,59.16,0.00099
30,54.77,57.46,0.00099
20,51.63,54.21,0.00097
50,58.32,61.29,0.00097
50,58.82,60.07,0.00097
40,56.05,58.84,0.00097
10,46.54,47.05,0.00099
30,56.89,58.54,0.00096
50,57.16,59.25,0.00099
20,52.49,53.89,0.00096
30,58.01,60.06,0.00099
50,57.09,58.73,0.00099
10,44.41,45.46,0.00096
30,53.25,56.24,0.00094
10,49.37,53.23,0.00097
40,55.17,55.79,0.00099
40,54.97,59.94,0.00099
50,60.88,62.61,0.00099
30,52.10,54.40,0.00097
20,54.70,56.75,0.00097
50,56.11,58.69,0.00094
10,48.16,48.30,0.00099
20,40.73,41.87,0.00099
10,43.11,46.39,0.00097
30,57.83,59.12,0.00096
40,58.84,62.60,0.00099
10,48.14,49.96,0.00097
20,51.76,55.18,0.00099
40,56.45,59.23,0.00099
10,41.65,42.04,0.00094
50,61.38,62.54,0.00099
50,61.40,61.85,0.00099
20,50.35,52.83,0.00096
20,57.35,57.40,0.00099
40,55.03,54.75,0.00096
30,56.09,55.96,0.00097
40,60.31,60.91,0.00097
20,47.05,50.54,0.00099
30,51.05,52.29,0.00099
20,55.06,58.43,0.00099
10,42.27,49.24,0.00099
40,53.37,57.43,0.00099
40,55.53,56.16,0.00099
10,48.89,52.46,0.00099
30,49.36,49.80,0.00096
10,34.31,44.28,0.00096
50,62.04,61.83,0.00099
50,58.39,59.79,0.00099
30,56.85,57.76,0.00099
20,49.58,53.36,0.00099
40,54.64,55.53,0.00099
50,59.39,61.51,0.00099
30,52.17,59.06,0.00099
30,51.75,52.92,0.00096
50,56.95,58.98,0.00099
20,53.78,56.86,0.00099
10,44.06,42.52,0.00096
30,49.96,50.42,0.00099
40,60.83,61.67,0.00097
10,46.83,50.03,0.00099
50,56.81,58.52,0.00096
50,56.17,58.28,0.00096
40,54.82,56.15,0.00099
20,45.07,47.68,0.00097
30,55.41,55.85,0.00097
10,43.73,49.80,0.00091
20,57.65,60.04,0.00099
20,51.11,54.66,0.00097
50,60.50,62.49,0.00097
10,45.04,48.85,0.00099
30,58.01,61.38,0.00099
10,49.50,56.48,0.00096
30,55.81,56.31,0.00093
40,57.33,59.66,0.00099
20,54.47,57.72,0.00099
20,54.08,54.85,0.00096
50,59.10,60.91,0.00097
40,57.07,56.75,0.00096
50,62.25,64.08,0.00099
30,54.46,56.58,0.00099
10,48.24,52.33,0.00099
40,53.94,56.33,0.00099
50,53.43,55.92,0.00096
40,58.81,60.57,0.00097
20,47.91,49.51,0.00099
