Number of labels,Accuracy,Accuracy with class priors,Class priors error
30,40.60,39.29,0.00095
40,42.38,43.12,0.00093
50,41.33,40.42,0.00093
40,39.37,38.39,0.00097
50,40.88,40.50,0.00097
40,37.93,38.28,0.00095
40,37.11,36.79,0.00098
20,31.69,31.58,0.00097
50,45.64,45.28,0.00098
30,39.18,38.25,0.00097
20,35.87,35.67,0.00098
30,35.76,36.98,0.00095
20,33.61,34.17,0.00095
10,26.52,30.24,0.00097
30,41.55,41.59,0.00098
20,36.80,37.20,0.00098
20,35.79,35.67,0.00098
50,38.68,38.45,0.00095
40,38.94,38.90,0.00098
10,33.56,32.43,0.00097
30,42.02,41.62,0.00098
50,36.27,36.18,0.00083
10,37.38,37.67,0.00098
10,31.46,32.54,0.00098
10,21.85,23.97,0.00098
40,38.45,38.97,0.00097
30,37.52,36.95,0.00092
10,32.87,33.87,0.00098
20,28.33,29.87,0.00093
50,40.27,39.64,0.00098
40,39.83,40.27,0.00098
20,33.29,32.51,0.00095
30,38.51,37.77,0.00098
10,32.35,34.10,0.00095
30,37.90,37.98,0.00095
20,41.02,44.47,0.00097
50,41.24,40.70,0.00098
10,23.76,28.60,0.00077
40,40.60,39.93,0.00095
50,43.30,43.44,0.00098
30,37.39,37.15,0.00097
50,38.66,38.81,0.00092
20,33.73,33.37,0.00097
50,36.29,36.03,0.00098
30,34.85,34.09,0.00098
40,43.45,43.20,0.00095
10,23.66,23.56,0.00097
30,33.78,34.89,0.00095
40,35.81,34.93,0.00098
40,39.81,39.40,0.00098
10,26.10,24.28,0.00093
20,33.15,37.81,0.00095
20,37.82,38.64,0.00098
10,37.01,37.53,0.00098
30,32.88,33.80,0.00098
50,42.80,42.25,0.00095
40,36.83,35.78,0.00090
50,37.40,38.29,0.00093
10,29.30,30.48,0.00098
20,28.23,31.67,0.00548
